Name,Status,Sprint,Assignees,Start Date,Due Date,Time Estimate,Dependency Type,Blocked By,Owner,Description
S1.1 Request + acquire manual gold assets (drop .docx/.pptx) ★,To Do,Sprint 1 — Foundations,Vaibhav,2026-06-08,2026-06-08,30m,Free to start,,Vaibhav,"Send the leadership request by EOW before Sprint 1 (Fri 5 Jun) so files are in hand Mon 8 Jun; this task = confirm receipt + drop the .docx/.pptx into benchmark/m1_s1/. #1 external dependency — Sprint 1's Thu/Fri slack is the slip buffer."
S1.2 Extract manual assets → text (one-off),To Do,Sprint 1 — Foundations,Vaibhav,2026-06-08,2026-06-08,1h,Finish-to-Start,S1.1,Vaibhav,"Convert the manual .docx/.pptx into plain-text files — one-off, no parsing pipeline."
S1.3 Confirm assets complete / fallback decision ◆,To Do,Sprint 1 — Foundations,Vaibhav,2026-06-08,2026-06-08,1h,Finish-to-Start,S1.2,Vaibhav,"Skim the extracted assets; confirm they're complete enough to benchmark, else pick a fallback subtopic."
S1.4 Build hand-built gold reference content_package.json,To Do,Sprint 1 — Foundations,Vaibhav,2026-06-09,2026-06-09,5h,Finish-to-Start,S1.3,Vaibhav,Hand-build the gold-standard content_package.json from the manual assets (agent-output schema) to score against.
S1.5 Write rubric (7 dims) + set review-time threshold,To Do,Sprint 1 — Foundations,Vaibhav,2026-06-08,2026-06-08,2h,Free to start,,Vaibhav,"Write the 7-dimension scoring rubric on a 1-10 scale, with 6 anchored to matches-manual quality, and set the concrete review-time threshold."
S1.6 Curate 3–6 grounding sources (sources/g*.md),To Do,Sprint 1 — Foundations,Siddarth,2026-06-08,2026-06-08,4h,Free to start,,Siddarth,"Find and trim 3–6 strong sources to excerpt files: definitions, risk taxonomy, Lehman-case facts."
S1.7 Hand-author Domain Model (deep m1_s1 + thin m1),To Do,Sprint 1 — Foundations,Siddarth,2026-06-09,2026-06-09,3h,Finish-to-Start,S1.6,Siddarth,"Author the domain-model JSON: deep for m1_s1, thin stubs for sibling subtopics; register source ids."
S1.8 Build llm.py (call/retry/token-log/cache) + .env,To Do,Sprint 1 — Foundations,Siddarth,2026-06-08,2026-06-09,3h,Free to start,,Siddarth,"Build the Anthropic SDK wrapper: call, retry, token/cost logging, prompt-hash cache; wire .env."
S1.9 Run first throwaway sample (smoke-test plumbing),To Do,Sprint 1 — Foundations,Siddarth,2026-06-10,2026-06-10,1h 30m,Finish-to-Start,"S1.7, S1.8",Siddarth,Run one throwaway end-to-end sample to smoke-test the plumbing (DM + sources → model call → output).
S1.M Milestone: quality bar + inputs in place,Backlog,Sprint 1 — Foundations,,2026-06-15,2026-06-15,,Milestone,"S1.4, S1.5, S1.9",—,"Gate (Mon 15 Jun): rubric, benchmark, sources, domain model and plumbing all in place."
S2.1 v0.2 schema bump (schema + sample + stub + integrity.py),Backlog,Sprint 2 — Generator,Siddarth,2026-06-15,2026-06-15,3h,Finish-to-Start,S1.M,Siddarth,"Bump the Content Package schema to v0.2 (claims[] + verification) and update the sample, stub, and integrity.py together."
S2.2 Write Course Content prompt + generation logic,Backlog,Sprint 2 — Generator,Vaibhav,2026-06-15,2026-06-15,4h,Finish-to-Start,S1.M,Vaibhav,Write the Course Content generation prompt and the per-asset generation logic in student_content.py.
S2.3 Generate Course Content (make-or-break) + inspect ★,Backlog,Sprint 2 — Generator,Vaibhav,2026-06-16,2026-06-16,3h,Finish-to-Start,"S2.2, S2.1",Vaibhav,Generate the Course Content asset and inspect it for depth and coverage — the make-or-break asset.
S2.4 Write prompts for rest of core 5 (LO/Summary/Case/Assess),Backlog,Sprint 2 — Generator,Vaibhav,2026-06-16,2026-06-17,4h,Finish-to-Start,S2.3,Vaibhav,"Write prompts for the other 4 core assets (Learning Objectives, Summary, Case Study, Assessment), conditioned on the Course Content."
S2.5 student_content_step thin adapter → assemble v0.2 package,Backlog,Sprint 2 — Generator,Siddarth,2026-06-15,2026-06-15,2h,Finish-to-Start,S2.1,Siddarth,"Turn student_content_step into a thin adapter: call generation, assemble the v0.2 package, return it."
