Task ID,Task Name,Description content,Status,List,Task assignee,Time Estimate,Depends On
S1.P1,Contract lock and fixture walkthrough,"Agree on Subject Request, Brief, Outcomes, Research Dossier, question and choice boundaries, stable IDs, and producer/consumer fixtures before implementation begins.",To Do,Sprint 1 - Intent and interaction foundation,"Vaibhav,Siddarth",3h,
S1.A1,Subject Request and Course Brief v0.2 contracts,"Add and test schemas and fixtures for the sparse subject request and approved Course Brief, including required, optional, conditional, assumption, and provenance fields.",To Do,Sprint 1 - Intent and interaction foundation,Vaibhav,4h,S1.P1
S1.A2,Typed question and choice models,"Implement provider-independent typed questions and choices with stable IDs, answer types, defaults, conditional display, validation, recommendations, and single or multiple selection.",To Do,Sprint 1 - Intent and interaction foundation,Vaibhav,5h,S1.P1
S1.A3,Terminal interaction renderer and test responder,Render typed questions and choices in the console and provide an injectable scripted responder so interaction tests run deterministically without an LLM.,To Do,Sprint 1 - Intent and interaction foundation,Vaibhav,4h,S1.A2
S1.A4,Hybrid intake agent,"Build deterministic Course Brief questions plus bounded validated follow-ups, preserve resolved answers, expose assumptions, and emit a schema-valid Brief.",To Do,Sprint 1 - Intent and interaction foundation,Vaibhav,5h,S1.A1|S1.A3
S1.A5,Course Outcomes agent and outcome choices,"Generate measurable outcomes and let the user select, reject, edit, add, and reprioritize them while blocking research when no meaningful outcome is approved.",To Do,Sprint 1 - Intent and interaction foundation,Vaibhav,4h,S1.A1|S1.A3
S1.B1,Expanded Research Dossier contract,"Extend and test the Research Dossier for extracted competitor outlines, original order and locators, normalized topics, coverage and sequence analysis, structural implications, and factual-source candidates.",To Do,Sprint 1 - Intent and interaction foundation,Siddarth,4h,S1.P1
S1.B2,Research adapter interfaces,"Define testable search, fetch, extract, and source-store interfaces with a mocked provider and explicit failure results so research logic is not tied to one vendor.",To Do,Sprint 1 - Intent and interaction foundation,Siddarth,5h,S1.P1
S1.B3,Competitor outline extraction and normalization prototype,"Convert fixture competitor outlines into ordered sections and normalized topics, preserve original labels, and generate a coverage-matrix fixture.",To Do,Sprint 1 - Intent and interaction foundation,Siddarth,5h,S1.B1|S1.B2
S1.B4,Source store foundation,"Persist approved source content or excerpts by stable course and source ID, validate locators and content references, and represent unavailable sources explicitly.",To Do,Sprint 1 - Intent and interaction foundation,Siddarth,4h,S1.B2
S1.B5,Deterministic source-selection reducer,Apply human-selected IDs to proposed candidates as approved or rejected without LLM interpretation and prove rejected or proposed sources cannot enter the downstream registry.,To Do,Sprint 1 - Intent and interaction foundation,Siddarth,4h,S1.A2|S1.B1
S1.P2,Mid-sprint contract integration,Run scripted interaction into mocked research proposals and resolve schema or interface drift before the Sprint 1 gate.,To Do,Sprint 1 - Intent and interaction foundation,"Vaibhav,Siddarth",1.5h,S1.A2|S1.B2
S1.M,Sprint 1 integration gate,"Demonstrate sparse request to approved Brief and Outcomes, display a mocked candidate-source form, apply source choices deterministically, and leave all regression tests green.",To Do,Sprint 1 - Intent and interaction foundation,"Vaibhav,Siddarth",2.5h,S1.A4|S1.A5|S1.B3|S1.B4|S1.B5|S1.P2
S2.A1,Intake gap-analysis hardening,"Add ambiguity and conflict checks with no more than three validated follow-ups, rejecting repeated or out-of-stage agent questions and using a cheaper model configuration where available.",To Do,"Sprint 2 - Research, structure, and Blueprint",Vaibhav,3h,S1.A4
S2.A2,Blueprint agent,"Generate course-wide defaults and per-subtopic depth, time, word range, concept, example, case, assessment, asset, and source-routing plans against the agreed Course Model contract.",To Do,"Sprint 2 - Research, structure, and Blueprint",Vaibhav,6h,S1.B1
S2.A3,Per-subtopic Blueprint decision flow,"Let the user accept global defaults, select or reject assets, and override meaningful per-subtopic exceptions without completing a blank form for every subtopic.",To Do,"Sprint 2 - Research, structure, and Blueprint",Vaibhav,5h,S1.A2|S2.A2
S2.A4,Blueprint validation and integrity-facing checks,"Validate ranges, selected assets, concept and source references, and confirmation for subtopics without a core content asset, including negative tests.",To Do,"Sprint 2 - Research, structure, and Blueprint",Vaibhav,4h,S2.A2|S2.B5
S2.A5,Upstream pipeline wiring and resume,"Wire intake, outcomes, approved research, Course Model, and Blueprint into the runnable pipeline and prove rejected upstream stages rerun without losing unrelated approvals.",To Do,"Sprint 2 - Research, structure, and Blueprint",Vaibhav,4h,S2.A3|S2.B4
S2.B1,Live bounded search and fetch provider,"Implement one live provider behind the research adapter with accessible HTML and practical text-PDF support, bounded retries, and actionable failures.",To Do,"Sprint 2 - Research, structure, and Blueprint",Siddarth,5h,S1.B2
S2.B2,Competitor TOC scanner and comparison,"Find five to eight relevant offerings, require at least three usable outlines, extract ordered TOCs, normalize topics, and produce coverage, sequence, gap, and differentiation analysis without inventing hidden content.",To Do,"Sprint 2 - Research, structure, and Blueprint",Siddarth,5h,S1.B3|S2.B1
S2.B3,Candidate factual-source research and capture,"Propose auditable factual sources with trust and relevance notes, ingest only human-approved content, support manual additions, and report evidence gaps.",To Do,"Sprint 2 - Research, structure, and Blueprint",Siddarth,4h,S1.B4|S2.B1
S2.B4,Course Model agent,"Generate modules, subtopics, scope, dependencies, concepts, coverage, approved source mappings, and compact structural rationale from the approved upstream artifacts.",To Do,"Sprint 2 - Research, structure, and Blueprint",Siddarth,6h,S2.B2|S2.B3
S2.B5,Source and structure integrity enforcement,"Reject proposed, rejected, or unavailable source leakage, invalid IDs and dependencies, unresolved outcomes, and embedded full evidence, with negative tests.",To Do,"Sprint 2 - Research, structure, and Blueprint",Siddarth,4h,S2.B4
S2.P1,Live-provider and Course Model contract review,Inspect one real research result together and approve any necessary bounded contract adjustment before downstream integration.,To Do,"Sprint 2 - Research, structure, and Blueprint","Vaibhav,Siddarth",1.5h,S2.B1
S2.P2,Research-to-Blueprint integration,Run approved source choices through the Course Model and Blueprint and verify that structural rationale and per-subtopic decisions remain traceable.,To Do,"Sprint 2 - Research, structure, and Blueprint","Vaibhav,Siddarth",2h,S2.A3|S2.B4|S2.B5
S2.M,Sprint 2 integration gate,"Demonstrate sparse request through live competitor and source research, reject at least one source, approve the Course Model, choose different subtopic plans, and produce an approved Blueprint without source leakage.",To Do,"Sprint 2 - Research, structure, and Blueprint","Vaibhav,Siddarth",2.5h,S2.A4|S2.A5|S2.B2|S2.B3|S2.B4|S2.B5|S2.P2
S3.A1,Whole-course coordination and progress,"Coordinate sequential execution across approved subtopic plans, expose the current stage, subtopic, and asset, and preserve completed work without embedding domain logic.",To Do,Sprint 3 - Whole-course production,Vaibhav,6h,S2.M
S3.A2,Resume and partial-run UX,"Resume approved stages and completed assets, display pending or failed units, and support safe retry without deleting unrelated artifacts.",To Do,Sprint 3 - Whole-course production,Vaibhav,4h,S3.A1|S3.B5
S3.A3,Domain-neutral Lesson Plan contract and agent,"Replace the FRM fixture with a validated agent that collects unresolved session constraints and produces sessions, durations, modes, covered subtopics, and talking points.",To Do,Sprint 3 - Whole-course production,Vaibhav,5h,S2.M
